Produto,Preço por KG
ALHO FRITO,"47,6"
ALHO S/ CASCA,"31,5"
BATATA LAVADA,"4,45"
CEBOLA GRAUDA,"2,92"
CEBOLA ROXA,"6,65"
COLORAU EM PO,18
COMINHO PO,"43,5"
CURCUMA PO,"27,5"
ERVAS FINAS SECAS,"77,5"
GERGELIN PRETO,"40,6"
LOURO SECO,"58,5"
NOZ MOSCADA PO,"99,8"
OREGANO SECO,"56,8"
OVO DE CODORNA CONSERVA,34
OVOS GRANDES EMB.,"0,69"
PAPRICA DOCE,21
PAPRICA PICANTE,21
PIMENTA DO REINO MOIDA PRETA,"89,5"
LARANJA T13,"6,4"
LIMAO TAITI GRAUDO,"5,3"
MACA VERMELHA T 120,"12,5"
MANGA TOMMY T 8,"5,5"
ABOBRINHA ITALIANA AA,"5,5"
BETERRABA AA,"2,75"
CENOURA AA,"5,5"
GENGIBRE,"14,5"
PEPINO JAPONES AA,"4,6"
PIMENTAO AMARELO AA,"12,5"
PIMENTAO VERDE AA,"8,3"
PIMENTAO VERMELHO AA,"11,9"
TOMATE CEREJA,"20,5"
TOMATE SALADA CARMEM,"4,65"
ALFACE AMERICANA,"11,9"
ALFACE CRESPA,"9,95"
ALFACE ROXA,"16,9"
BROCOLOS JAPONES,"13,5"
CEBOLINHA,"11,5"
COENTRO,"28,5"
COUVE MANTEIGA,"6,8"
MANJERICAO,58
RUCULA HIDROPONICA,"12,5"
SALSA,"12,8"
SALSAO,"8,3"